date,sleep_efficiency,deep_sleep_ratio,sfi,hrv_rmssd,daily_activity,social_turns,missing_count,data_quality
2026-07-01,0.8064423463348188,0.30668030415952785,7.08848165648187,57.20041050196183,6402.509739691853,28.00544704061247,0,valid
2026-07-02,0.8967083857903267,0.2859803967626577,5.4565090403879095,51.98113839499919,5802.641156450551,38.07639521112049,0,valid
2026-07-03,0.9079995012759193,0.31457378774937395,4.896649027629768,49.860877968931234,6592.698811868053,44.555164497744435,0,valid
2026-07-04,0.8336228244093569,0.34222491129593013,5.492438981723003,54.83051741415593,6491.960199451616,33.83358871177083,0,valid
2026-07-05,0.8692529097822808,0.3372530800558812,4.276255800532544,51.03651988252674,5636.803764718916,37.31850989226562,0,valid
2026-07-06,0.8744726009677998,0.3078584635011985,3.857892387076241,46.93788245247141,5788.224799915916,35.059401586191164,0,valid
2026-07-07,0.8943698001205561,0.3526548761546072,6.27800164970694,50.01917728641359,5000.502407093422,35.01884857355099,0,valid
2026-07-08,0.8755179823415894,0.3588793016753773,6.693505202986428,56.47474538855882,5216.506989823106,38.24906209770106,0,valid
2026-07-09,0.9315433094413407,0.28346656973078765,4.614583968156899,46.487834282015896,6304.321617689547,31.211278279974245,0,valid
2026-07-10,0.93301502009232,0.33362923095466945,5.352800944058715,59.54987394834225,5242.666835765762,37.16422797647697,0,valid
2026-07-11,0.9203484176263653,0.3292897074032314,3.5663598038591644,42.55016327128955,7957.863122415774,29.4265441757669,0,valid
2026-07-12,0.8381679925946062,0.30256369078782125,6.6890502733335,48.91912768167187,7471.622667788214,37.48421084349185,0,valid
2026-07-13,0.8770196543875212,0.30833357973346504,3.4473872525201785,52.634234712964236,6038.970385584038,45.784852874947155,0,valid
2026-07-14,0.8334616587607032,0.27452739087944134,3.5978378061080947,46.55509083618378,6363.445804476334,37.986258763311405,0,valid
2026-07-15,0.8355769692615964,0.2795670518892469,5.390159934301598,53.843461691956506,4286.959352000977,33.55423697535889,0,valid
2026-07-16,0.8379145882035228,0.32163166772222995,5.560910755268973,45.02168892443842,5435.562234879486,36.07838247987595,0,valid
2026-07-17,0.883249382093359,0.30289583513667645,2.6650581642058344,57.77953858256845,5907.653684421199,33.81577452785636,0,valid
2026-07-18,0.8729083233405476,0.3160619746701717,3.025257927242555,49.02718685517216,5973.51523700591,40.57592220222753,0,valid
2026-07-19,0.9003734367399485,0.2774295617716907,5.6421478328131816,42.049111812767045,7346.956842517012,27.24381517389267,0,valid
2026-07-20,0.8752933374409592,0.2400344241398627,4.505833247695589,36.52790725956788,6309.657249851458,30.135909797317233,0,valid
2026-07-21,0.9034708648902028,0.28321154931736486,2.6677927669183763,54.871875319943,6376.863893807235,27.83182458406964,0,valid
2026-07-22,0.8422131778209418,0.29339950306017676,3.984369277464031,49.06114925930725,6322.72355068981,37.62391820918978,0,valid
2026-07-23,0.7933932460217611,0.2835918762364061,3.09129817316707,49.69238076001386,5691.199106712415,31.544789507340916,0,valid
2026-07-24,0.8647893570500264,0.2902862982022268,5.269454041529251,47.79105709405606,6304.957571479189,35.95333607529536,0,valid
2026-07-25,0.827584211270553,0.27230362242659756,5.079879063492713,44.50294815343134,6056.726379899745,32.51276962563993,0,valid
2026-07-26,0.925052477309938,0.28629023655356817,3.535527352536856,52.59389851324469,5440.788660991564,41.90198425186638,0,valid
2026-07-27,0.9056104770169101,0.2866195513655201,3.551086842173413,57.0519969037849,6469.633035819558,33.94937667397674,0,valid
2026-07-28,0.7785780867926202,0.35416801418209837,4.985999427086783,58.29029504912269,6046.717386828816,32.857205616958005,0,valid
2026-07-29,0.9009463723100312,0.3056574779755448,4.435076850099902,44.18727712249855,7032.4157299930985,31.77843095483216,0,valid
2026-07-30,0.8766259763086638,0.33337230258623096,4.702439140607078,56.40630629540807,5257.706774218446,34.74387309684338,0,valid
2026-07-31,0.8720665347081852,0.3277914248939867,5.087840129024211,45.18887782586297,5542.733048817136,36.408217123488065,0,valid
2026-08-01,0.8917088570551316,0.3192291214382959,3.6469668187602573,48.15973131890945,5073.2844388397725,38.243340921424206,0,valid
2026-08-02,0.8829276335647203,0.29214341041789077,4.754574794250928,50.416503335964045,5429.532768885239,43.004888532339756,0,valid
2026-08-03,0.9293797042630833,0.2670810290400392,4.169530609408387,48.05763319446278,7383.719527039458,26.857282100609403,0,valid
2026-08-04,0.9395475135217703,0.2960793220226971,4.886452989054147,47.78615370296281,4575.5139458501,28.99770067812449,0,valid
2026-08-05,0.955231247291764,0.2899840267356345,5.018847226893959,44.8001216913342,5886.077359237984,33.08885574866393,0,valid
2026-08-06,0.9133713527574853,0.29172760275048915,6.464187765918376,46.12996884241358,5833.517115511525,35.40515744364075,0,valid
2026-08-07,0.858906137095007,0.3313801544965485,3.3055348454229616,52.42500558100238,7384.115764804928,31.519530009547843,0,valid
2026-08-08,0.8524994402483481,0.26287809207983964,4.331462628263606,46.47699500397134,5678.436748559671,34.468641465167195,0,valid
2026-08-09,0.5712891459009344,0.09960150250202254,19.538123718047665,25.083226879352523,6895.137510696288,39.3114624254222,0,valid
2026-08-10,0.4689442124672061,0.07229899088687235,6.708088463952657,37.0407902001243,6569.87211271902,36.99075939864516,0,valid
2026-08-11,0.3190134187848139,0.19162615451855552,17.176801284948485,37.1419571328267,5624.11207014761,41.531720804573034,0,valid
2026-08-12,0.6675085761237427,0.17558734025677475,17.559208920783806,26.530546377467097,5168.015777690682,30.592653045137777,0,valid
2026-08-13,0.3418096808622625,0.11362246339515769,12.451584142956579,37.21706441956983,5239.0696508867295,38.36609871560967,0,valid
2026-08-14,0.5797705071025165,0.015022759266090452,10.728639612958672,36.215011957612084,6133.315141876521,33.60516913952076,0,valid
